File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Animator.cpp,65,52,26,5,13,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Application.cpp,14,12,8,1,2,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Audio.cpp,99,84,41,17,15,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\AudioManager.cpp,214,181,114,19,21,1,12,93,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Body.cpp,246,203,125,29,33,3,10,74,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Camera.cpp,103,94,43,11,9,1,0,4,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\CollisionManager.cpp,197,150,90,18,40,5,7,44,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Component.cpp,9,8,3,0,1,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Controller.cpp,132,67,31,11,23,0,42,90,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Engine.cpp,172,142,82,4,25,1,5,29,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\EventManager.cpp,101,73,38,8,24,0,4,20,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\FrameRateController.cpp,51,42,21,4,8,0,1,3,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameObject.cpp,88,72,39,14,12,0,4,14,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameObjectFactory.cpp,171,114,65,19,18,0,39,115,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameObjectManager.cpp,137,111,57,12,14,0,12,41,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameStateManager.cpp,102,81,50,8,19,0,2,2,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\InputManager.cpp,136,107,56,26,26,0,3,9,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\MemoryManager.cpp,121,102,57,13,19,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Number.cpp,60,48,24,5,9,0,3,9,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\ParallaxBg.cpp,80,69,27,6,11,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\ParticleSystem.cpp,206,154,91,21,32,0,20,63,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\PhysicsManager.cpp,211,136,88,13,37,11,38,252,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\PlayerState.cpp,147,110,73,15,32,6,5,42,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\RenderManager.cpp,274,216,134,14,47,0,11,19,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\ResourceManager.cpp,102,78,49,9,22,0,2,4,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Sprite.cpp,91,80,47,7,11,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\State.cpp,57,36,16,6,8,0,13,44,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\stdafx.cpp,1,1,0,0,0,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Subscriber.cpp,53,38,16,4,15,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\TextRenderer.cpp,149,108,72,5,20,0,21,81,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Tool.cpp,44,31,12,4,13,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Transform.cpp,95,78,47,8,16,0,1,5,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Animator.h,27,21,16,0,6,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Audio.h,39,36,32,0,2,1,1,15,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\AudioManager.h,75,57,42,0,18,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Body.h,62,51,40,0,10,2,1,13,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Camera.h,31,25,17,0,6,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\CollisionManager.h,112,79,50,0,27,0,6,24,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Component.h,53,40,17,0,13,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Controller.h,18,13,9,0,5,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Engine.h,27,19,15,0,5,0,3,6,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\EventManager.h,53,37,25,0,16,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\FrameRateController.h,26,23,18,0,3,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameObject.h,49,36,20,0,10,0,3,20,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameObjectFactory.h,23,17,12,0,6,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameObjectManager.h,32,21,15,0,11,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\GameStateManager.h,28,23,14,0,5,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\InputManager.h,35,24,19,0,11,1,0,2,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Log.h,10,9,2,0,1,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\MemoryManager.h,32,25,19,0,7,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Number.h,25,18,12,0,7,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\ParallaxBg.h,28,21,15,0,6,0,1,2,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\ParticleSystem.h,45,37,27,0,6,0,2,3,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\PhysicsManager.h,13,12,9,0,1,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\PlayerState.h,51,40,22,0,10,0,1,11,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\RenderManager.h,81,67,48,0,14,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\ResourceManager.h,20,17,13,0,3,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Sprite.h,30,22,15,0,8,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\State.h,27,20,10,0,7,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\stdafx.h,9,8,0,0,1,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Subscriber.h,23,15,10,0,8,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\TextRenderer.h,38,34,22,0,4,4,0,23,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Tool.h,31,24,14,0,7,0,0,0,0,0
C:\Users\vidhi\Documents\DigiPen\Spring 2019\GAM541\Game Project\nerdherd\Matricks\Source\Transform.h,47,23,16,0,9,0,15,70,0,0
